transaction_id,account_id,counterparty_id,transaction_date,transaction_time,transaction_type,amount,currency,description,merchant_category,merchant_name,status
TXN001,ACC001,CP001,2025-12-01,09:15:32,withdrawal,500.00,USD,ATM withdrawal,6211,Downtown ATM,completed
TXN002,ACC001,CP002,2025-12-01,10:42:15,transfer_out,5000.00,USD,Wire transfer to supplier,4829,Wire Out,completed
TXN003,ACC002,CP003,2025-12-01,14:23:45,deposit,10000.00,USD,Direct deposit,4011,Employer Deposit,completed
TXN004,ACC003,CP004,2025-12-02,08:30:22,withdrawal,1500.00,USD,Cash withdrawal,6211,Bank Branch,completed
TXN005,ACC004,CP005,2025-12-02,11:15:08,transfer_out,250000.00,USD,High-value transfer,4829,Wire Out,pending_review
TXN006,ACC001,CP006,2025-12-02,16:45:33,payment,1200.00,USD,Online bill payment,6211,Utility Payment,completed
TXN007,ACC005,CP007,2025-12-03,09:22:11,transfer_out,50.00,USD,Small transfer,4829,Wire Out,completed
TXN008,ACC002,CP008,2025-12-03,13:44:27,transfer_in,750.00,USD,Refund received,4829,Wire In,completed
TXN009,ACC006,CP009,2025-12-04,10:11:44,withdrawal,2000.00,USD,Large cash withdrawal,6211,ATM,completed
TXN010,ACC007,CP010,2025-12-04,15:33:22,transfer_out,50000.00,USD,Business transfer,4829,Wire Out,completed
TXN011,ACC003,CP011,2025-12-05,08:55:14,payment,5500.00,USD,International payment,7011,Foreign Payment,flagged
TXN012,ACC008,CP012,2025-12-05,12:22:08,deposit,500.00,USD,Deposit received,4011,Deposit,completed
TXN013,ACC004,CP013,2025-12-06,14:15:33,transfer_out,100000.00,USD,Large transfer,4829,Wire Out,completed
TXN014,ACC001,CP014,2025-12-06,09:45:22,payment,3500.00,USD,Payment,7011,Payment,completed
TXN015,ACC002,CP015,2025-12-07,11:30:45,transfer_out,150000.00,USD,Large transfer,4829,Wire Out,flagged
