sku,product_name,warehouse_id,quantity_on_hand,quantity_reserved,quantity_damaged,reorder_point,lead_time_days,unit_cost,retail_price,last_received_date,last_counted_date
SKU001,Wireless Headphones,WH001,150,25,2,50,7,35.00,79.99,2025-12-01,2025-11-28
SKU001,Wireless Headphones,WH002,200,40,0,50,7,35.00,79.99,2025-11-28,2025-11-20
SKU002,Phone Case,WH001,500,100,5,100,3,8.00,25.00,2025-12-02,2025-11-30
SKU002,Phone Case,WH002,0,0,0,100,3,8.00,25.00,2025-11-15,2025-11-25
SKU003,USB-C Cable,WH001,800,150,0,200,5,5.00,19.99,2025-11-30,2025-11-28
SKU003,USB-C Cable,WH002,450,100,10,200,5,5.00,19.99,2025-11-20,2025-11-20
SKU004,Monitor 27in,WH001,25,15,1,10,14,150.00,399.99,2025-11-25,2025-11-25
SKU004,Monitor 27in,WH002,10,8,0,10,14,150.00,399.99,2025-11-20,2025-11-18
SKU005,Mechanical Keyboard,WH001,75,20,3,30,10,65.00,129.99,2025-11-28,2025-11-25
SKU005,Mechanical Keyboard,WH002,60,15,2,30,10,65.00,129.99,2025-11-22,2025-11-20
SKU006,Webcam HD,WH001,0,0,0,25,8,40.00,99.99,2025-11-15,2025-11-18
SKU006,Webcam HD,WH002,35,10,0,25,8,40.00,99.99,2025-12-01,2025-11-30
SKU007,HDMI Cable,WH001,1500,200,15,300,4,3.00,9.99,2025-11-30,2025-11-28
SKU007,HDMI Cable,WH002,1200,150,20,300,4,3.00,9.99,2025-12-01,2025-11-29
SKU008,Desk Lamp LED,WH001,85,20,5,40,6,25.00,59.99,2025-11-27,2025-11-25
SKU008,Desk Lamp LED,WH002,45,15,2,40,6,25.00,59.99,2025-11-20,,
SKU009,Gaming Mouse,WH001,120,25,0,50,5,20.00,49.99,2025-12-01,2025-11-29
SKU009,Gaming Mouse,WH002,80,10,0,50,5,20.00,49.99,2025-12-02,2025-12-02
SKU010,Invalid Product,WH001,0,0,0,,8,-50.00,0.00,2025-12-01,2025-12-01
