movement_id,sku,warehouse_id,movement_date,movement_type,quantity,reference_id,reason,notes
MOV001,SKU001,WH001,2025-12-01,sale,10,ORD-001,customer_purchase,
MOV002,SKU001,WH002,2025-12-01,sale,15,ORD-002,customer_purchase,
MOV003,SKU002,WH001,2025-12-01,sale,20,ORD-003,customer_purchase,
MOV004,SKU003,WH001,2025-12-02,sale,50,ORD-004,customer_purchase,
MOV005,SKU004,WH001,2025-12-02,transfer,5,TRF-001,warehouse_rebalance,From WH001 to WH002
MOV006,SKU005,WH001,2025-12-02,sale,8,ORD-005,customer_purchase,
MOV007,SKU006,WH001,2025-12-03,inventory_adjustment,0,ADJ-001,recount_discrepancy,Zero count but showed 0 in system
MOV008,SKU007,WH002,2025-12-03,sale,75,ORD-006,customer_purchase,
MOV009,SKU008,WH001,2025-12-03,damage,5,DMG-001,warehouse_damage,Broken units
MOV010,SKU009,WH001,2025-12-03,sale,25,ORD-007,customer_purchase,
MOV011,SKU002,WH001,2025-12-04,replenishment,100,PO-001,stock_replenishment,Purchase order received
MOV012,SKU005,WH002,2025-12-04,sale,0,ORD-008,customer_purchase,Invalid zero sale
MOV013,SKU010,WH001,2025-12-04,sale,5,ORD-009,customer_purchase,Invalid SKU
MOV014,SKU003,WH001,2025-12-04,transfer,-100,TRF-002,warehouse_rebalance,Negative transfer
MOV015,SKU001,WH002,2025-12-05,replenishment,500,PO-002,stock_replenishment,Purchase order received
