id,date,amount,category,description
TRX001,2025-11-28,45.99,FOOD,Coffee at Brew Haven
TRX002,2025-11-28,120.50,TRANSPORT,Uber ride downtown
TRX003,2025-11-28,89.99,ENTERTAINMENT,Movie tickets (2x)
TRX004,2025-11-28,55.00,UTILITIES,Electric bill payment
TRX005,2025-11-28,,FOOD,Grocery store (incomplete)
TRX006,2025-11-29,156.75,FOOD,Restaurant dinner
TRX007,2025-11-29,30.00,TRANSPORT,Gas station fill-up
TRX008,2025-11-29,450.00,ENTERTAINMENT,Concert tickets
TRX009,2025-11-29,75.00,UTILITIES,Water bill
TRX010,2025-11-29,0,FOOD,Free sample (zero amount)
TRX011,2025-11-30,67.50,FOOD,Lunch at cafe
TRX012,2025-11-30,45.00,TRANSPORT,Bus pass monthly
TRX013,2025-11-30,200.00,ENTERTAINMENT,Video game purchase
TRX014,2025-11-30,120.00,UTILITIES,Internet bill
TRX015,2025-11-30,92.30,FOOD,Grocery shopping
TRX016,2025-12-01,38.75,FOOD,Breakfast sandwich
TRX017,2025-12-01,15.50,TRANSPORT,Parking fee
TRX018,2025-12-01,79.99,ENTERTAINMENT,Book purchase
TRX019,2025-12-01,105.00,UTILITIES,Gas heating bill
TRX020,2025-12-01,145.60,FOOD,Dinner catering
TRX021,2025-12-02,52.25,FOOD,Coffee and snacks
TRX022,2025-12-02,60.00,TRANSPORT,Rideshare fare
TRX023,2025-12-02,250.00,ENTERTAINMENT,Theater show tickets
TRX024,2025-12-02,65.75,UTILITIES,Phone bill
TRX025,2025-12-02,198.50,FOOD,Grocery restocking
TRX026,2025-12-03,41.99,FOOD,Fast food lunch
TRX027,2025-12-03,35.00,TRANSPORT,Taxi ride
TRX028,2025-12-03,150.00,ENTERTAINMENT,Streaming subscription
TRX029,2025-12-03,88.00,UTILITIES,Insurance bill
TRX030,2025-12-03,220.75,FOOD,Weekly shopping
TRX031,2025-10-15,500.00,FOOD,Invalid old transaction
TRX032,2025-12-04,1500.00,ENTERTAINMENT,Unusual high amount
